check_id,category,check,table,field,records_checked,records_failing,pct_failing,example_record_ids,affects,rule
L15,Link integrity,Applications.Offers should hold at most one link,Applications,Offers,350,0,0.0,,D1/D3 acceptance,`Applications.Offers` must hold at most one linked record
L16,Link integrity,Offers.Application → Applications: target exists and links back,Offers,Application,36,0,0.0,,D1/D3 acceptance,Every record ID in `Offers.Application` exists in Applications and that record's `Offers` contains the source record
L17,Link integrity,Offers.Application should hold exactly one link,Offers,Application,36,0,0.0,,D1/D3 acceptance,`Offers.Application` must hold exactly one linked record
L18,Link integrity,Applications.Referred By → People: target exists and links back,Applications,Referred By,27,0,0.0,,D1 channel,Every record ID in `Applications.Referred By` exists in People and that record's `Referrals Made` contains the source record
L19,Link integrity,Applications.Referred By should hold at most one link,Applications,Referred By,350,0,0.0,,D1 channel,`Applications.Referred By` must hold at most one linked record
L20,Link integrity,People.Referrals Made → Applications: target exists and links back,People,Referrals Made,12,0,0.0,,D1 channel,Every record ID in `People.Referrals Made` exists in Applications and that record's `Referred By` contains the source record
L21,Link integrity,Job Openings.Recruiter → People: target exists and links back,Job Openings,Recruiter,24,0,0.0,,D2,Every record ID in `Job Openings.Recruiter` exists in People and that record's `Reqs as Recruiter` contains the source record
L22,Link integrity,Job Openings.Recruiter should hold exactly one link,Job Openings,Recruiter,24,0,0.0,,D2,`Job Openings.Recruiter` must hold exactly one linked record
L23,Link integrity,People.Reqs as Recruiter → Job Openings: target exists and links back,People,Reqs as Recruiter,4,0,0.0,,D2,Every record ID in `People.Reqs as Recruiter` exists in Job Openings and that record's `Recruiter` contains the source record
L24,Link integrity,Job Openings.Hiring Manager → People: target exists and links back,Job Openings,Hiring Manager,24,0,0.0,,D2,Every record ID in `Job Openings.Hiring Manager` exists in People and that record's `Reqs as Hiring Manager` contains the source record
L25,Link integrity,Job Openings.Hiring Manager should hold exactly one link,Job Openings,Hiring Manager,24,0,0.0,,D2,`Job Openings.Hiring Manager` must hold exactly one linked record
L26,Link integrity,People.Reqs as Hiring Manager → Job Openings: target exists and links back,People,Reqs as Hiring Manager,4,0,0.0,,D2,Every record ID in `People.Reqs as Hiring Manager` exists in Job Openings and that record's `Hiring Manager` contains the source record
L27,Link integrity,Job Openings.Department → Departments: target exists and links back,Job Openings,Department,24,0,0.0,,D2,Every record ID in `Job Openings.Department` exists in Departments and that record's `Job Openings` contains the source record
L28,Link integrity,Job Openings.Department should hold exactly one link,Job Openings,Department,24,0,0.0,,D2,`Job Openings.Department` must hold exactly one linked record
L29,Link integrity,Departments.Job Openings → Job Openings: target exists and links back,Departments,Job Openings,8,0,0.0,,D2,Every record ID in `Departments.Job Openings` exists in Job Openings and that record's `Department` contains the source record
L30,Link integrity,People.Department → Departments: target exists and links back,People,Department,14,0,0.0,,D2,Every record ID in `People.Department` exists in Departments and that record's `People` contains the source record
L31,Link integrity,People.Department should hold exactly one link,People,Department,14,0,0.0,,D2,`People.Department` must hold exactly one linked record
L32,Link integrity,Departments.People → People: target exists and links back,Departments,People,8,0,0.0,,D2,Every record ID in `Departments.People` exists in People and that record's `Department` contains the source record
L33,Link integrity,Interviews.Interviewer → People: target exists and links back,Interviews,Interviewer,160,0,0.0,,D2,Every record ID in `Interviews.Interviewer` exists in People and that record's `Interviews` contains the source record
L34,Link integrity,Interviews.Interviewer should hold exactly one link,Interviews,Interviewer,160,0,0.0,,D2,`Interviews.Interviewer` must hold exactly one linked record
L35,Link integrity,People.Interviews → Interviews: target exists and links back,People,Interviews,6,0,0.0,,D2,Every record ID in `People.Interviews` exists in Interviews and that record's `Interviewer` contains the source record
L36,Link integrity,Applications.Recruiter points to a person without the expected role,Applications,Recruiter,350,0,0.0,,D2,Linked person's `People.Role` not in ['Recruiter']
L37,Link integrity,Job Openings.Recruiter points to a person without the expected role,Job Openings,Recruiter,24,0,0.0,,D2,Linked person's `People.Role` not in ['Recruiter']
L38,Link integrity,Job Openings.Hiring Manager points to a person without the expected role,Job Openings,Hiring Manager,24,0,0.0,,D2,Linked person's `People.Role` not in ['Hiring Manager']
L39,Link integrity,Interviews.Interviewer points to a person without the expected role,Interviews,Interviewer,160,0,0.0,,D2,"Linked person's `People.Role` not in ['Hiring Manager', 'Interviewer']"
X01,Cross-field consistency,Stage disagrees with Status,Applications,Stage vs Status,350,5,1.4,rec8n7ktHYBuzeY1h recCPGIfZwJpFdhnM recRAyDBrdQqQOVyP recpTfLaxtqwd6Zml recwP2FumcSYmnZP8,D1 channel; D1/D3 acceptance,"Stage in ['Hired', 'Rejected', 'Withdrawn'] should have Status=Closed; Stage in ['Applied', 'Interview', 'Offer', 'Screening'] should have Status=Active"
X02,Cross-field consistency,Status disagrees with Closed On,Applications,Status vs Closed On,350,0,0.0,,D1 channel; D1/D3 acceptance,Status=Closed must have Closed On; Status=Active must not
X03,Cross-field consistency,Rejection Reason set on an application that was not rejected or withdrawn,Applications,Stage vs Rejection Reason,136,4,2.9,recGmP6tLajPeKMGj reciNqlMlx5mYgt5N reckLPXA8xRgWsC1l recsf6EmTqvMtB5m9,D1 channel; D1/D3 acceptance,"Stage not in [Rejected, Withdrawn] but Rejection Reason is filled"
X04,Cross-field consistency,Rejected application has no Rejection Reason,Applications,Rejection Reason,200,0,0.0,,D2,Stage=Rejected with Rejection Reason empty
X05,Cross-field consistency,Withdrawn stage and 'Withdrew' reason disagree,Applications,Stage vs Rejection Reason,15,1,6.7,reckLPXA8xRgWsC1l,D1/D3 acceptance,"Stage=Withdrawn should carry Rejection Reason=Withdrew, and vice versa"
X06,Cross-field consistency,'Position Cancelled' rejection on an opening that is not Cancelled,Applications,Rejection Reason vs Job Openings.Status,18,18,100.0,rec0W4wqiME84NbOB rec6peHh5DoungjGv recBnvAesasu7ckJ8 recF1jRC5ahg9RccD recGiyWJy2C8lOufo,D2,Rejection Reason=Position Cancelled but the linked opening's Status is not Cancelled
X07,Cross-field consistency,Active application on a Cancelled or Filled opening,Applications,Status vs Job Openings.Status,105,59,56.2,rec0PaJV3hGNinKGA rec3EfhNQoL3td1wH rec3HAogsxyQTaTQ9 rec3SdIWP8PRb7Yi9 rec42NcT9OGY8NOQC,D2,Status=Active while the linked opening's Status is Cancelled or Filled
X08,Cross-field consistency,Hired application without an Accepted offer,Applications,Stage vs Offers.Status,26,0,0.0,,D1 channel; D1/D3 acceptance,Stage=Hired but no linked offer has Status=Accepted (includes no offer at all)
X09,Cross-field consistency,Accepted offer whose application is not Hired,Offers,Status vs Applications.Stage,26,0,0.0,,D1 channel; D1/D3 acceptance,Offer Status=Accepted but the linked application's Stage is not Hired
X10,Cross-field consistency,Pending offer whose application is not an active Offer-stage application,Offers,Status vs Applications.Stage/Status,5,0,0.0,,D1/D3 acceptance,Offer Status=Pending but the application is not Stage=Offer with Status=Active
X11,Cross-field consistency,Declined offer whose application is still open or Hired,Offers,Status vs Applications.Stage/Status,5,5,100.0,recC08X4FeIURnTSC recXLjOhQeRS6ds3g recY88MFVZmfpXKhv reca4WglLHfgswBug recy4ucf1kN35a7zu,D1/D3 acceptance,"Offer Status=Declined but the application is Active, or at Stage Offer or Hired"
X12,Cross-field consistency,Offer-stage application with no offer record,Applications,Stage vs Offers,10,0,0.0,,D1/D3 acceptance,Stage=Offer but Applications.Offers is empty
X13,Cross-field consistency,Offer record on an application still at a pre-offer stage,Applications,Stage vs Offers,36,0,0.0,,D1/D3 acceptance,"Application has an offer but Stage is in ['Applied', 'Interview', 'Screening']"
X14,Cross-field consistency,Pending offer has a Decision On date,Offers,Status vs Decision On,5,4,80.0,rec5GeU3frNNkZrws recMJLFhIqQcUh6A9 recQq6ghz7ksCfsKV recUzh2Vj5NyAPwRO,D1/D3 acceptance,Status=Pending with Decision On filled
X15,Cross-field consistency,Decided offer has no Decision On date,Offers,Status vs Decision On,31,0,0.0,,D1/D3 acceptance,"Status in [Accepted, Declined] with Decision On empty"
X16,Cross-field consistency,Declined offer has no Decline Reason,Offers,Decline Reason,5,0,0.0,,D1/D3 acceptance,Status=Declined with Decline Reason empty
X17,Cross-field consistency,Decline Reason on an offer that was not declined,Offers,Decline Reason,31,0,0.0,,D1/D3 acceptance,Status other than Declined with Decline Reason filled
X18,Cross-field consistency,"Applications.Offered On present without an offer, or offer without Applications.Offered On",Applications,Offered On vs Offers,36,0,0.0,,D1/D3 acceptance,Applications.Offered On should be filled exactly when the application has an offer
X19,Cross-field consistency,Applications.Offered On differs from Offers.Offered On,Applications,Offered On vs Offers.Offered On,36,3,8.3,reciNqlMlx5mYgt5N reckLPXA8xRgWsC1l recsf6EmTqvMtB5m9,D1/D3 acceptance,Both copies present and not equal
X20,Cross-field consistency,First Interview On disagrees with the earliest linked interview,Applications,First Interview On vs Interviews.Scheduled On,143,13,9.1,rec0yM3MdyWBDkjXA rec3do5Lr0vNEt35R recGmP6tLajPeKMGj recKWSoAgLTGK1MB1 recP47ZJ2xJ54FFWg,D2,First Interview On should equal the earliest Scheduled On of linked interviews (fails if either side is missing)
X21,Cross-field consistency,Final Interview On disagrees with the latest linked interview,Applications,Final Interview On vs Interviews.Scheduled On,50,44,88.0,rec0yM3MdyWBDkjXA rec1VdEJeKJcPDrha rec2Pe5ybeqwR9GMi rec3do5Lr0vNEt35R rec6M0WIvxnaajd9e,D2,Final Interview On should equal the latest Scheduled On of linked interviews (fails if no interviews are linked)
X22,Cross-field consistency,Final Interview On set but fewer than two interviews recorded,Applications,Final Interview On vs Interviews,50,44,88.0,rec0yM3MdyWBDkjXA rec1VdEJeKJcPDrha rec2Pe5ybeqwR9GMi rec3do5Lr0vNEt35R rec6M0WIvxnaajd9e,D2,A distinct final interview implies at least two interview records
X23,Cross-field consistency,Interview-stage or later application with no interview records,Applications,Stage vs Interviews,59,0,0.0,,D2; D1/D3 acceptance,"Stage in [Interview, Offer, Hired] with no linked interviews"
X24,Cross-field consistency,Interview-stage or later application with no Screened On date,Applications,Stage vs Screened On,59,0,0.0,,D2,"Stage in [Interview, Offer, Hired] with Screened On empty"
X25,Cross-field consistency,Interview Outcome disagrees with its result fields,Interviews,Outcome vs Completed On/Score/Recommendation/Feedback,160,4,2.5,rec4ut1NFvwq5AiNs recYkOt2cyPyzNxGh recwOLmkyNUx8771C recx6G0nSe0Ywjk3f,D2,Outcome=Completed needs all four result fields; any other Outcome should have none
X26,Cross-field consistency,Interview Score contradicts Recommendation,Interviews,Score vs Recommendation,142,0,0.0,,D2,"Hire/Strong Hire with Score ≤ 2, or No Hire/Strong No Hire with Score ≥ 4 (1–5 scale)"
X27,Cross-field consistency,Interview Feedback text contradicts Recommendation,Interviews,Feedback vs Recommendation,142,2,1.4,recCEW4SFK0b2KN7C recOdFXKRnehtC5Kz,D2,Feedback classified positive/negative by stock phrase; fails when its direction is opposite to the Recommendation
X28,Cross-field consistency,Filled opening whose hires ≠ Headcount,Job Openings,Status/Headcount vs hires,8,4,50.0,recDWPyPdsjzjzYEx recN2CRitgJbTxrMs recRf0sg8Gga7o7w9 recfHWdP7FhYmzOhw,D1 channel; D2,Status=Filled but the number of linked applications at Stage=Hired differs from Headcount
X29,Cross-field consistency,More hires than Headcount,Job Openings,Headcount vs hires,24,4,16.7,rec810iCfuNrOnIYU recDWPyPdsjzjzYEx recMQPbjDBoBakTk9 recRf0sg8Gga7o7w9,D1 channel; D2,Linked applications at Stage=Hired exceed Headcount
X30,Cross-field consistency,"Open/On Hold opening already at Headcount, or Cancelled opening with hires",Job Openings,Status vs hires,16,7,43.8,rec38ScPLVzASwBYL rec810iCfuNrOnIYU recMQPbjDBoBakTk9 recVwQPU98RDxJM0q recXjrSsLdnbn00zJ,D1 channel; D2,"Open or On Hold with hires ≥ Headcount, or Cancelled with any hire"
X31,Cross-field consistency,Offer Base CTC outside the opening's salary band,Offers,Base CTC vs Salary Band,36,7,19.4,rec9zR8IYJSOcp70l recSz6g6gyqkXsMhe recUzh2Vj5NyAPwRO recXLjOhQeRS6ds3g recYKkt6k6hHTt6Qt,D1/D3 acceptance,Base CTC < Salary Band Min or > Salary Band Max of the linked opening
X32,Cross-field consistency,Salary Band Min above Max,Job Openings,Salary Band Min/Max,24,0,0.0,,D1/D3 acceptance,Salary Band Min > Salary Band Max
X33,Cross-field consistency,Application has a referrer but candidate Source is not Referral,Applications,Referred By vs Candidates.Source,27,24,88.9,rec42NcT9OGY8NOQC rec4iYmQoziFjJ9fL rec5EHcqYRoWmEZKL rec6W1jdOjlvcdpG5 recCg355T7dWJq5wC,D1 channel,Referred By filled while the candidate's Source ≠ Referral
X34,Cross-field consistency,Referral-sourced candidate with no referrer on any application,Candidates,Source vs Applications.Referred By,8,5,62.5,rec4TPTco4kDfU2DJ recY2oL9jE7i5hCgV recbcICkKL6Tyqt1h recyRCSer7xBH1pe3 recykIELP765EIWgr,D1 channel,Source=Referral but none of the candidate's applications has Referred By
X35,Cross-field consistency,Notes say 'Referred internally' but Source is not Referral,Candidates,Notes vs Source,38,36,94.7,rec0o9aI0EnMVBMro rec0rfFyI6FUhGlWs rec40qlITVvfTqKUW rec5RdZfePRur7pC7 rec79pxVt8FKQKtVg,D1 channel,Notes contain 'Referred internally' while Source ≠ Referral
X36,Cross-field consistency,Notes say 'Sourced from a conference list' but Source is an inbound channel,Candidates,Notes vs Source,34,26,76.5,rec1ZO83Ql6dd29RL rec2atIiA18GrFXjS rec3UGGnvgS4eHy1V rec6BKJZcBt830leX rec6LXtDS09NTKZZr,D1 channel,"Notes mention a conference list while Source is in ['Career Site', 'Job Board']"
X37,Cross-field consistency,Notes say applications were consolidated but the candidate does not have exactly one,Candidates,Notes vs Applications,33,2,6.1,recIPZ2h6RA4Asws8 recz1vUl2BPha8i30,D1 channel; D1/D3 acceptance,Notes contain 'consolidated onto' while the candidate has ≠ 1 application
X38,Cross-field consistency,Notes mention an earlier rejection that the data does not show,Candidates,Notes vs Applications,37,33,89.2,rec2PoJK2uHkb5Fpe rec4XbLmQaQOU321E rec9oVAVFxd5E6eth recAOPmX5RBDvfRMQ recDUysdny9plc4sA,D1 channel,Notes contain 'earlier rejection' but the candidate has no Rejected application applied before their latest one
T01,Date order and plausibility,Candidate created after applying,Applications,Candidates.Created On ≤ Applied On,350,90,25.7,rec0Niixi0wuN3K1M rec0W4wqiME84NbOB rec2JLvjQ4AD5wtZb rec42NcT9OGY8NOQC rec4iYmQoziFjJ9fL,D1 channel,Candidate Created On is later than the application's Applied On
T02,Date order and plausibility,Applied before the opening was opened,Applications,Job Openings.Opened On ≤ Applied On,350,3,0.9,recjFFqK9KHos3R03 recspd5m3Ua7jScMR recwwFHgFJVvqXjbl,D2,Applied On is earlier than the linked opening's Opened On
T03,Date order and plausibility,Screened On before Applied On,Applications,Applied On ≤ Screened On,279,0,0.0,,D2,Screened On is earlier than Applied On
T04,Date order and plausibility,First Interview On before Screened On,Applications,Screened On ≤ First Interview On,143,0,0.0,,D2,First Interview On is earlier than Screened On
T05,Date order and plausibility,Final Interview On before First Interview On,Applications,First Interview On ≤ Final Interview On,50,0,0.0,,D2,Final Interview On is earlier than First Interview On
T06,Date order and plausibility,Offered On before Applied On,Applications,Applied On ≤ Offered On,36,0,0.0,,D2; D1/D3 acceptance,Offered On is earlier than Applied On
T07,Date order and plausibility,Closed On before Applied On,Applications,Applied On ≤ Closed On,245,0,0.0,,D2,Closed On is earlier than Applied On
T08,Date order and plausibility,Offered before the last interview,Applications,latest interview ≤ Offered On,36,0,0.0,,D1/D3 acceptance,Applications.Offered On earlier than the latest of First/Final Interview On and linked Interviews.Scheduled On
T09,Date order and plausibility,Closed before a later stage event,Applications,Closed On ≥ every stage date,245,0,0.0,,D2; D1/D3 acceptance,Closed On earlier than the latest of Applied/Screened/First Interview/Final Interview/Offered On
T10,Date order and plausibility,Recruiter joined Acme after the application,Applications,People.Joined On ≤ Applied On,350,0,0.0,,D2,Assigned recruiter's Joined On is later than Applied On
T11,Date order and plausibility,Interview scheduled before the application,Interviews,Applied On ≤ Scheduled On,160,9,5.6,rec4ut1NFvwq5AiNs rec4zFi7LaW1LvjPZ rec7qVu8f3RaIBtSW recSdGEuTsriCZXgs recdtT8sKQgUTb1Yi,D2,Scheduled On earlier than the application's Applied On
T12,Date order and plausibility,Interview scheduled after the application closed,Interviews,Scheduled On ≤ Closed On,130,7,5.4,recCo5HU1SbFu6uZv recNisf0nalrAbi6j recX8B4KCe2l0p0MD recZW3WdOdZ2DwiRi recd2wrilRtWQ5LNT,D2,Scheduled On later than the application's Closed On
T13,Date order and plausibility,Interview completed before it was scheduled,Interviews,Scheduled On ≤ Completed On,142,4,2.8,rec7SL2jo8M7TwS6x recYkOt2cyPyzNxGh recZW3WdOdZ2DwiRi reciQu0aUhVUh9gmJ,D2,Completed On earlier than Scheduled On
T14,Date order and plausibility,Interviewer joined Acme after the interview,Interviews,People.Joined On ≤ Scheduled On,160,0,0.0,,D2,Interviewer's Joined On later than Scheduled On
T15,Date order and plausibility,Offer made before the last interview,Offers,latest interview ≤ Offers.Offered On,36,3,8.3,rec9zR8IYJSOcp70l recUzh2Vj5NyAPwRO rechC6yLXnUv4oXCD,D1/D3 acceptance,Offers.Offered On earlier than the application's latest interview date
T16,Date order and plausibility,Decision before the offer,Offers,Offered On ≤ Decision On,35,0,0.0,,D1/D3 acceptance,Decision On earlier than Offered On
T17,Date order and plausibility,Proposed start before the decision,Offers,Decision On ≤ Proposed Start Date,35,4,11.4,rec9zR8IYJSOcp70l recJ0AWDZSiO7mxXQ recSz6g6gyqkXsMhe rechC6yLXnUv4oXCD,D1/D3 acceptance,Proposed Start Date earlier than Decision On
T18,Date order and plausibility,Proposed start before the offer,Offers,Offered On ≤ Proposed Start Date,36,3,8.3,recJ0AWDZSiO7mxXQ recSz6g6gyqkXsMhe rechC6yLXnUv4oXCD,D1/D3 acceptance,Proposed Start Date earlier than Offered On
T19,Date order and plausibility,Application closed before the offer decision,Offers,Decision On ≤ Applications.Closed On,31,21,67.7,rec2ZqFzKtzyRhiRw rec4IxCFtlh2fUaYZ rec5A8pPd3Az1BUkn rec9zR8IYJSOcp70l recC08X4FeIURnTSC,D1/D3 acceptance,The application's Closed On is earlier than the offer's Decision On
T20,Date order and plausibility,Target Close before Opened On,Job Openings,Opened On ≤ Target Close,24,0,0.0,,D2,Target Close earlier than Opened On
T21,Date order and plausibility,People: event date after the data was fetched,People,Joined On,14,0,0.0,,D2,Any of ['Joined On'] later than the fetch date 2026-09-23
T22,Date order and plausibility,Job Openings: event date after the data was fetched,Job Openings,Opened On,24,0,0.0,,D2,Any of ['Opened On'] later than the fetch date 2026-09-23
T23,Date order and plausibility,Candidates: event date after the data was fetched,Candidates,Created On,300,0,0.0,,D1 channel,Any of ['Created On'] later than the fetch date 2026-09-23
T24,Date order and plausibility,Applications: event date after the data was fetched,Applications,"Applied On, Screened On, First Interview On, Final Interview On, Offered On, Closed On",350,0,0.0,,D2,"Any of ['Applied On', 'Screened On', 'First Interview On', 'Final Interview On', 'Offered On', 'Closed On'] later than the fetch date 2026-09-23"
T25,Date order and plausibility,Interviews: event date after the data was fetched,Interviews,"Scheduled On, Completed On",160,0,0.0,,D2,"Any of ['Scheduled On', 'Completed On'] later than the fetch date 2026-09-23"
T26,Date order and plausibility,Offers: event date after the data was fetched,Offers,"Offered On, Decision On",36,0,0.0,,D1/D3 acceptance,"Any of ['Offered On', 'Decision On'] later than the fetch date 2026-09-23"
T27,Date order and plausibility,Completed interview scheduled in the future,Interviews,Outcome vs Scheduled On,138,0,0.0,,D2,Outcome=Completed with Scheduled On after 2026-09-23
T28,Date order and plausibility,Offer outstanding more than 30 days before decision,Offers,Offered On → Decision On,35,0,0.0,,D1/D3 acceptance,Decision On − Offered On > 30 days
T29,Date order and plausibility,Pending offer older than 30 days at fetch,Offers,"Status=Pending, Offered On",5,5,100.0,rec0bHaqPWKwbh666 rec5GeU3frNNkZrws recMJLFhIqQcUh6A9 recQq6ghz7ksCfsKV recUzh2Vj5NyAPwRO,D1/D3 acceptance,Status=Pending and fetch date − Offered On > 30 days
T30,Date order and plausibility,Proposed start more than 120 days after decision,Offers,Decision On → Proposed Start Date,35,0,0.0,,D1/D3 acceptance,Proposed Start Date − Decision On > 120 days
T31,Date order and plausibility,Application open more than 365 days,Applications,Applied On → Closed On,245,0,0.0,,D2,Closed On − Applied On > 365 days
T32,Date order and plausibility,Active application with no stage activity in 90 days,Applications,"Status=Active, latest stage date",105,72,68.6,rec0PaJV3hGNinKGA rec0rE99hlKy4ijv9 rec3HAogsxyQTaTQ9 rec42NcT9OGY8NOQC rec5EuZuQoEcDIkEd,D2; D1/D3 acceptance,Status=Active and fetch date − latest stage date > 90 days
H01,Category and format hygiene,Category variants in Location,Departments,Location,8,0,0.0,,D2,"Leading/trailing/double spaces, case or punctuation variants of the same value, or a value within 0.9 similarity of a more common one with the same word count. Values seen: Noida (4), Bengaluru (2), Remote (1), Mumbai (1)"
H02,Category and format hygiene,Category variants in Role,People,Role,14,0,0.0,,D2,"Leading/trailing/double spaces, case or punctuation variants of the same value, or a value within 0.9 similarity of a more common one with the same word count. Values seen: Interviewer (6), Recruiter (4), Hiring Manager (4)"
H03,Category and format hygiene,Category variants in Employment Type,Job Openings,Employment Type,24,0,0.0,,D2,"Leading/trailing/double spaces, case or punctuation variants of the same value, or a value within 0.9 similarity of a more common one with the same word count. Values seen: Full-time (20), Contract (4)"
